Course,Section,GPA Grades,Ave.GPA ,SD2,Median GPA,% A,% B,% C,% D,% F,% P,% I,AU%,%W/AW,#Letter Grades
BIOL 101,1,225,3.35,0.58,3.33,40,53,2,0,2,0,0,0,3,232
BIOL 101,2,81,2.93,0.63,3.00,18,56,20,2,0,0,0,0,4,84
BIOL 101,3,90,3.71,0.34,3.67,79,19,1,0,0,0,0,0,1,91
BIOL 105,1,113,2.64,0.65,2.67,11,48,37,2,1,0,0,0,1,114
BIOL 110: Lab,1,24,3.19,0.58,3.33,29,63,4,4,0,0,0,0,0,24
BIOL 110: Lab,3,20,3.47,0.25,3.67,52,43,0,0,0,0,0,0,5,21
BIOL 110: Lab,4,21,3.40,0.58,3.67,62,33,0,5,0,0,0,0,0,21
BIOL 110: Lecture,1,160,2.36,0.73,2.33,7,33,49,7,2,0,0,0,2,163
BIOL 120: Lab,1,15,3.31,0.43,3.33,33,60,7,0,0,0,0,0,0,15
BIOL 120: Lab,2,20,3.48,0.40,3.50,50,50,0,0,0,0,0,0,0,20
BIOL 120: Lab,3,18,3.35,0.64,3.33,42,42,5,5,0,0,0,0,5,19
BIOL 120: Lecture,1,69,2.52,1.14,2.67,22,33,29,7,9,0,0,0,0,69
BIOL 301: Lab,1,8,2.42,0.71,2.33,0,44,33,11,0,0,0,0,11,9
BIOL 301: Lecture,1,21,2.94,0.44,3.00,5,81,14,0,0,0,0,0,0,21
BIOL 305: Lab,1,11,3.15,0.43,3.00,27,64,9,0,0,0,0,0,0,11
BIOL 305: Lab,2,19,3.33,0.51,3.33,40,45,10,0,0,0,0,0,5,20
BIOL 305: Lab,3,12,3.05,0.71,3.33,14,57,7,7,0,0,0,0,14,14
BIOL 305: Lecture,1,36,3.04,0.56,3.00,26,49,18,0,0,0,0,0,8,39
BIOL 310,1,19,3.09,0.62,3.33,42,37,21,0,0,0,0,0,0,19
BIOL 320,1,23,2.90,0.62,3.00,22,48,30,0,0,0,0,0,0,23
BIOL 321,1,31,3.65,0.31,3.67,66,31,0,0,0,0,0,0,3,32
BIOL 331: Lecture,1,8,2.92,0.56,2.83,25,63,13,0,0,0,0,0,0,8
